"WT_DW_1"	"WT_DW_2"	"WT_DW_3"	"WT_JA__10"	"WT_JA__11"	"WT_JA_4_28"	"WT_DW_41"	"WT_JA_41"	"myb47_95DW6_21"	"myb47_95JA6_31"	"myb47_95JA7_32"	"myb47_95JA9_24"	"myb47_95_DW5_27"	"myb47_95_DW__7"	"myb47_95DW_41"	"myb47_95JA_41"	"mycTKO_DW_4"	"mycTKO_DW_5"	"mycTKO_DW_6_20"	"mycTKO_DW_41"	"mycTKO_JA_13"	"mycTKO_JA_14"	"mycTKO_JA_15"	"mycTKO_JA_41"
"AT1G01340"	920.241	1074.052	1005.015	846.203	662.01	214	358.65	33	627.977	561.941	232.082	78.058	114.977	535.194	368.267	91	966.075	790.449	484.405	732.574	849.704	977.046	686.508	693.995
"AT1G01350"	595.84	664.733	630.442	506.354	481.123	627.439	496.004	457.329	506.143	518.597	443.483	405	400.443	585.467	634.294	463.381	670.167	613.254	585.236	548.069	600.425	608.428	466.205	462.981
"AT1G01360"	505.893	624.234	496.354	296.709	352.139	273.401	478.338	150.027	492.784	368.42	222.332	157.967	215.511	445.325	479.322	107	511.01	479.748	404.44	375.756	244.686	255.658	230.948	359.193
"AT1G01370"	31.008	33	32	29	32	26.009	32.042	21	33.046	34.028	21.021	13	18	38	50	23	45	61	35	66	49.985	57.188	33.837	35.42
"AT1G01390"	85.369	111	94	33	53.188	35	345.495	51	133.034	65.014	81.01	44	65	138	535.388	42	305	236.914	82	638.699	109.138	125.852	93.115	231.518
"AT1G01420"	687.246	860.51	803.01	463.871	476.817	196.415	582.584	45	1125.845	495.088	121.93	37.013	36.983	965.715	794.379	30	1495.167	1075.715	818.063	801.687	940.516	886.634	696.322	678.647
"AT1G01430"	1512.217	1829.377	1666.11	1130.29	1248.677	688.854	947.019	348.386	1881.173	1214.66	548.15	400.156	460.032	1730.083	1206.446	262.105	1521.648	1368.653	1746.198	1071.097	1106.059	1185.751	995.076	944.586
"AT1G01440"	645.475	867.027	821.2	547.667	465.533	197.002	449.641	376.799	730.975	553.935	354.076	367.039	448.026	642.868	425.622	303.607	685.19	618.836	623.188	591.999	466.722	486	399.05	329.641
"AT1G01448"	404.195	479.628	395.103	300.815	279.056	101.003	335.691	126	365.657	267.805	142.204	127	143.805	260.096	285.059	137.014	351.249	314.945	319.011	368.427	259.136	299.352	188.001	245.069
"AT1G01470"	1528.698	1909.277	1437.841	2053.13	2062.947	3127.787	8746.669	1167.421	2040.887	2433.825	1906.581	1292.318	1583.454	1985.008	4808.125	409.819	2302.083	2119.845	1887.074	8252.554	1435.906	1366.059	1068.598	1400.022
"AT1G01480"	86.236	94	125.026	152.43	109.633	51	24	102.204	4.002	43	98.43	52	94.873	3	14	58	11	9.001	5	13	33.012	12	12	7
"AT1G01490"	4073.744	4985.73	4742.582	3735.6	3679.241	4084.679	2765.19	6154.484	4124.348	3772.905	3951.459	3382.976	4161.324	3778.91	3669.352	6419.255	5553.658	4764.853	3387.219	3431.757	5281.306	4119.731	4022.404	6097.451
"AT1G01500"	442	617.388	638.372	453.436	474.857	322.623	524.477	672.487	725.909	476.625	593.87	452.62	562.278	660.095	589.676	679.459	1192.463	847.438	508.502	613.071	939.839	1040.51	1030.011	699.519
"AT1G01510"	651.363	927.07	815.711	466.264	540.845	336.116	594.694	278.101	877.524	524.251	324.559	286.002	354.01	782.947	516.34	349.916	966.293	716.951	656.85	670.884	656.677	781.351	637.004	498.091
"AT1G01520"	45	39	34	15.002	28.144	6	90.001	46	71.096	20	11	9	19	64	148.319	10	158	127.304	72.085	98.949	103.807	47	50	85
"AT1G01540"	1453.1	1872.787	1613.649	1350.023	1286.552	551.168	2123.723	1061.362	1825.594	1328.375	1125.627	867.404	1024.721	2092.689	2012.696	1072.643	1562.501	1334.003	1924.31	1998.368	1058.31	1012.026	838.527	1067.851
"AT1G01550"	7090.321	6969.346	6743.448	7843.992	6648.169	3116.944	5966.783	4445.205	6063.34	6346.001	5299.94	4336.758	4930.129	5702.839	5618.379	3756.745	6834.908	6935.831	6373.182	6573.797	5559.447	4947.462	3601.413	4083.526
"AT1G01560"	335.355	337.363	383.111	1827.71	1153.787	1350.127	2211.533	153.72	409.851	540.003	124.117	80.84	102.124	201.952	1008.309	54	372.819	468.699	212.805	2825.755	214.003	196	113	119.044
"AT1G01570"	10	27	21	16	14	13	39.998	26	36.069	17	31	13	14	42.534	13	6	30	24	16.014	31	8	6	16	16
"AT1G01580"	23	30	21	17.49	26	4	18	6	49.07	34.021	12	10	15.802	17	48	6	61	25.007	26	27	15	20	24	13
"AT1G01590"	17.003	18	14.978	4	1	7	31	0	8	3	7	0	2	14.007	88.108	0	14	6	9	52	5	1	0	4
"AT1G01610"	951.256	1278.337	1191.88	856.176	806.173	1104.933	865.67	13	2520.865	663.451	160.581	37.001	55.008	1144.733	853.041	0	3188.607	2338.362	1017.064	1492.628	2680.485	3121.774	2403.38	2394.817
"AT1G01620"	1609.325	2374.743	2014.046	1041.298	1262.089	409.017	887.319	239.816	2651.074	2019.641	356.365	376.777	370.244	2205.773	721.227	147.005	1046.185	832.035	2103.858	656.9	330.915	328.534	326	252.832
"AT1G01630"	1208.315	1316.571	1263.732	1067.447	1053.171	353.291	1091.743	647.722	2047.636	1262.291	618.137	474.259	567.782	1696.703	1206.932	769.622	2819.699	2364.367	1441.345	1521.418	2933.793	2864.552	2188.398	2261.957
"AT1G01640"	89.84	114	95	35.003	50.017	78	55.683	29	80.158	84.028	40.159	35	37.611	82.144	54	20	118.344	78.947	92.983	63	82.107	48	49	29
"AT1G01650"	1170.527	1482.447	1375.232	1363.294	1216.634	417.328	1044.928	1006.031	1334.84	1472.147	1977.286	1613.373	1988.155	1129.519	915.258	1062.931	1546.854	1405.686	1031.529	1154.348	1574.149	1589.024	1247.42	922.287
"AT1G01660"	14	21	18	8	5.019	3	7.843	8	20	2.001	5	5	4	26	17	14.14	18	23	15	21	12	17	17	15
"AT1G01670"	45	49	55	35.988	28.153	61	46.001	21	43	55	18	18	28	44	68.088	14	74.025	40.162	46.819	44	27	29.066	25	13
"AT1G01680"	231.255	140	208	137.448	84	41.366	85.226	4	36.215	59.806	35	7	13	68.017	270.329	0	108	81.006	65	302.248	47.177	42.006	34	4.934
"AT1G01690"	67	73	63.034	45.012	46.166	26.663	88	21	76.801	59.057	29.724	34	18.02	61	95	13	110	78.002	85.053	86.006	29.073	41	27	41
"AT1G01700"	23.07	13	22	3	9	4	15	8	5	6.9	12	13	11	8	19	1	16	6	5	17	13	11	13	1
"AT1G01710"	1264.323	1374.867	1315.424	1311.646	1291.144	965.924	1198.018	1864.346	1086.31	1404.079	1638.604	1552.147	1926.574	1194.679	1139.742	1957.691	1493.999	1282.849	1228.18	1197.403	1523.686	1545.643	1184.413	1353.861
"AT1G01720"	648.676	811.004	754.458	850.45	814.506	448.472	2606.536	2456.394	770.226	656.659	1009.253	953.977	1176.203	771.553	1874.772	2291.959	791.477	677.068	609.062	2012.973	1239.551	1293.682	1008.222	2798.111
"AT1G01725"	229.004	238.955	229.339	217.878	196.206	290.974	188.172	222	254.256	242.494	166.325	115.002	235.862	221	189	233.996	216	201.853	170.882	158	173.029	210	127	176
"AT1G01730"	757.903	999.287	914.502	684.693	705.91	490.258	584.149	573.003	721.434	724.405	448.597	438.213	543.851	750.002	479.314	490.611	927.621	719.2	720.95	592	652.117	739.077	505.963	540.564
"AT1G01740"	166.608	186	198	174.84	160.301	125.204	273.95	101	312.822	136.84	149.003	79	118.022	225	223.079	140.001	478.987	404.659	196.836	410.037	407.191	451.407	333	387.513
"AT1G01760"	42.009	97	70.003	31	32.003	4	47	50.944	45.268	34	19	32	31.012	46	62.031	34	52	46.019	43	51	23	32	27	27
"AT1G01770"	421.88	695.62	651.721	422.132	327.127	60.474	496.679	458.219	436.695	404.666	356.347	514.69	564.587	432.205	430.055	632.201	551.404	409.023	402.69	588.702	382.235	550.674	419.684	350.082
"AT1G01780"	223.721	304.337	268	210.605	173.843	186	259.646	414.227	205.738	207.068	297.947	203.379	261.685	179.533	323.477	327.986	259.701	213.848	173.29	291.459	224.695	227.109	165.714	244.555
"AT1G01790"	4326.783	5732.444	5130.196	2375.709	2249.186	1195.818	5523.128	2172.839	3742.779	2429.079	3087.405	3077.291	3500.254	4172.508	5661.682	1867.801	4667.037	3866.836	3904.853	6814.59	2348.16	2558.324	1936.211	2817.807
"AT1G01800"	1923.643	2140.03	2200.578	1461.661	1516.344	1982.167	1763.467	1160.024	1683.561	1560.666	1608.194	1106.617	1572.754	2014.684	1514.17	1086.806	2533.632	2067.168	1827.585	2141.837	2079.629	2120.687	1654.18	1763.315
"AT1G01810"	22	16	8.075	17.04	24	56	2	29	22.387	20.156	10	9	18.003	19	14	14	36	29	21	16	17	18	16	16
"AT1G01820"	2090.135	2275.462	2232.431	2342.79	2009.116	3220.099	1484.155	1728.961	2340.147	2106.114	1928.845	1460.277	1882.92	2002.044	1444.517	1664.046	2882.513	2676.507	1904.539	2268.017	2577.336	2721.017	2047.255	2239.198
"AT1G01830"	999.65	1252.338	1271.153	893.019	789.922	954.892	981.202	974.411	1886.306	952.894	437.344	483.359	535.081	1439.459	1121.852	994.506	2012.241	1650.436	1312.721	1442.84	1372.985	1364.659	1161.462	1309.423
"AT1G01860"	229.663	247.001	269	198.285	201.126	182	257.532	169.843	287.837	205.423	169.997	124.975	188.348	292.659	292.954	125.831	308.997	242.869	232.189	269.012	188.115	222.817	162.578	169.081
"AT1G01880"	19	32.454	16	23	15	15	31	4	33	17.922	7	17	14	22	25.366	2	18.141	19	34	33	12.191	9	6	6
"AT1G01900"	16.002	38	30	9	14	10	49.012	17	30.001	18.143	39	43	50	43	30	17	41.147	22.154	27.008	21	3	12	8	19
"AT1G01910"	1052.992	1350.663	1238.375	1022.653	1030.433	839.481	859.915	1192.231	962.284	926.465	1105.698	951.865	1144.59	982.073	883.35	1156.621	1347.273	1142.973	948.868	1014.086	1279.236	1335.739	997.783	1013.659
"AT1G01920"	238.834	246.005	261	251.414	233.957	137.563	286.899	103.01	384.824	264.46	136.017	84.315	119.993	337	207.963	80	463.019	397.959	341.005	376.225	369.846	384	291	214.546
"AT1G01930"	378.47	486	453.877	355.224	338.382	96	343.074	269.179	352.913	299.063	286.518	314	341.962	418.574	317.313	270.004	544.331	384.651	374.513	348.034	419.427	411.36	338.373	255.153
"AT1G01940"	297.476	327.604	344.711	258.875	245.504	396.625	302.138	171	504.673	238.186	198.587	115.119	189.595	417.799	353.896	234.632	814.152	613.72	344.062	462.516	642.507	766.323	577.769	376.099
"AT1G01950"	501.084	662.565	604.717	369.811	382.525	174	1275.057	414.6	565.141	403.022	325.695	282.003	320.965	597.431	1232.767	275.56	678.959	456.147	618.476	611.405	427.353	415.236	330.977	572.98
"AT1G01960"	2238.074	3443.246	3076.911	1774.886	1695.277	296.069	2128.022	1156.254	2569.732	1733.634	1366.61	1518.728	1697.865	2362.151	1856.659	1405.762	3475.207	2939.049	2241.108	2554.471	2331.404	2893.364	2311.579	1602.975
"AT1G01970"	445.949	461.041	383.242	320.063	315.007	444.435	604.391	419.005	359.956	310.176	493.939	392.504	441.31	393.052	694.181	281.431	523.902	453.722	424.815	908.538	363.647	337.486	225.323	369.023
"AT1G01990"	668.4	761.039	725.012	575.29	489.399	258.988	522.72	447.176	563.101	561.505	530.307	488.474	602.468	630.685	521.516	539.641	789.994	698.823	618.443	760	565.753	668.531	511.011	550.327
"AT1G02000"	267.186	430.592	375.699	288.878	293.167	267.825	272.775	541.625	357.336	304.661	494.139	518.83	535.371	303.119	299.557	475.083	352.035	320.629	257.237	312.016	249.223	281.784	218.411	243.597
"AT1G02010"	244.792	301	268	173.013	193.674	75.68	336.902	184.444	240.409	219.295	152.516	139	162.36	247.727	431.257	255.056	293	245.365	273.612	412.334	178.984	212.017	148	229.002
"AT1G02020"	497.382	716.638	606.11	302.158	320.421	258	384.81	315.495	517.042	373.916	363.092	323.235	415.442	407	475.048	290	718.735	489.904	395.741	516.26	427.51	512.192	442	331.735
"AT1G02050"	149.02	202.179	214	137.466	110.01	153.81	101.2	49	168.081	104.203	74.017	37.627	65.549	130.006	104.573	83	203.051	109.165	91.301	134	93.011	114.839	117.143	109.054
"AT1G02060"	163.766	213.024	222.092	128.893	98.071	20	125.741	48	206.195	84.172	61	65.376	65.802	126	125	67	218.001	139.707	113.68	153.867	81	129.054	78	104
"AT1G02080"	3154.452	4867.33	4143.073	2309.436	2348.022	490.643	2993.571	2299.1	3436.847	2210.309	2002.566	2463.041	2820.164	2820.748	2407.196	2388.852	4555.796	3439.392	2920.936	3343.08	2697.524	3279.904	2652.348	1882.175
"AT1G02090"	649.858	788.482	714.601	569.915	581.016	816.822	626.827	754.689	672.056	683.657	820.381	658.886	867.802	730.694	727.561	673.253	985.005	725.562	607.899	680.903	683.94	667.09	579.986	530.009
"AT1G02100"	1162.702	1172.379	1122.669	1061.251	967.745	1470.812	966.03	699.812	1059.97	1043.246	817.066	626.306	761.98	963.574	731.494	880.15	1164.856	1092.954	1017.846	1150.059	969.378	869.394	709.887	798.177
"AT1G02110"	262.921	418.582	384.954	222.66	193.127	200.339	286.29	66.152	480.703	223.899	98.638	61	84.276	340.95	263.048	75.48	484	302.933	291.362	308	198.238	206.016	181.028	146.067
"AT1G02120"	3422.912	4371.261	4167.39	3025.903	2971.298	2539.52	2538.2	1642.213	3505.602	2824.02	1707.553	1565.44	1882.585	3471.504	2525.931	1673.514	4486.133	3447.136	3059.097	3068.564	2951.541	2735.09	2499.031	2391.763
"AT1G02130"	1024.262	1088.716	1051.382	772.774	760.535	289.324	850.882	888.285	907.191	777.463	870.393	704.853	874.561	895.274	868.351	794.298	1192.485	1118.941	857.531	1011.38	1004.801	872.802	692.395	757.942
"AT1G02140"	1996.256	2061.662	2046.433	1745.64	1681.899	3034.886	1987.256	1997.143	1795.768	1861.929	2092.818	1422.93	1840.629	2190.241	2059.497	1650.203	2714.84	2270.343	1925.243	1936.425	2202.435	2232.78	1729.702	1801.268
"AT1G02145"	589.158	569.105	505.593	564.377	524.835	500.502	625.705	462.484	583.289	581.638	398.757	331.184	414.935	538.037	549.492	366.905	648.016	649.376	606.037	608.751	674.516	583.792	389.07	510.398
"AT1G02150"	1733.814	2373.731	2213.888	1379.625	1338.084	1707.344	1926.063	1223.29	1735.245	1449.708	1411.866	1201.919	1233.075	1829.338	1953.151	1056.574	2581.743	2002.172	1656.676	2402.38	1830.761	1980.86	1519.409	1809.073
"AT1G02160"	352.13	405.441	451.102	266.119	271.389	756.825	387.946	246	444.08	351.854	248.689	181.025	262.426	425.016	408.094	303	550.008	352.808	324.146	455.005	325.731	453.829	339.425	373.057
"AT1G02170"	1227.182	1642.58	1550.801	1078.197	970.975	1137.827	888.333	740.233	1040.144	1185.542	971.481	665.008	939.531	913.44	712.841	715.635	1545.205	1203.924	734.325	1002.498	1127.52	1369.365	1143	921.546
"AT1G02180"	24	16	29	23	26	27	33.937	24	17.109	20.839	29	21	26.005	38	30	27	13	16	31.004	12	10	10	13	2
"AT1G02220"	180.211	209.255	241.053	180.869	125.998	91.2	103.628	59.298	30	54.011	58.004	39.047	48.005	86	144.816	153.05	157.997	150.038	70.449	91	189.041	147.02	112	139.012
"AT1G02230"	63.493	85	86	20	15.001	9	5	0	8	12.187	0	3	1	25	17	1	72	49.773	13.846	13	29.001	32	27	0
"AT1G02260"	800.966	902.993	905.401	690.755	627.805	209.352	640.69	344	765.057	674.894	427.782	359.057	514.012	838.955	492.012	410.341	900.668	767.416	748.127	740.166	733.736	859.137	609.538	627.336
"AT1G02270"	764.043	815.996	709.039	793.661	724.926	983.543	1486.577	829.023	714.899	865.119	718.403	567.072	702.602	832.807	1095.486	608.775	1146.298	1096.782	1024.375	1052.384	986.409	963.464	675.389	766.934
"AT1G02280"	838.436	868.988	789.266	596.725	552.778	1229.349	587.124	265.701	601.099	712.675	426.507	310.589	359.955	738.369	654.541	296.372	839.03	704.558	741.124	724.373	590.53	528.214	443.296	345.151
"AT1G02290"	227.424	260.833	229	147.951	157.951	159.35	217.127	25.634	216.764	192.123	80.819	59	74.494	205	169.463	26	282.368	289.469	233.224	189.581	219.442	153.016	152	125.917
"AT1G02300"	1087.471	1175.868	947.14	766.351	852.356	740.876	729.177	658.483	931.372	945.698	281.404	261.168	333.329	1126.14	713.909	521.685	903.496	781.94	1075.424	614.108	486.868	597.358	429.995	376.097
"AT1G02305"	4762.331	5359.151	5332.386	4902.383	4614.427	5162.765	2465.877	4776.851	4851	5398.817	3752.804	3902.688	4574.931	4700.436	2458.892	4047.976	5106.486	4226.91	4819.71	2881.635	4326.344	4043.721	3060.383	2498.493
"AT1G02330"	582.973	660.647	620.032	531.309	527.475	598.628	379.734	494.693	484.839	530.283	513.315	416.084	510.589	576.785	416.822	368.749	734.533	624.826	543.025	420.014	702.435	580.55	489.675	466.045
"AT1G02335"	39	41	23	41	36.381	59	12	42	53.004	45.678	148.404	117.001	166.535	42	24	9	47	27.209	26.012	15	13	19	14	2
"AT1G02340"	175.111	237	255.632	40.314	67.959	3	5	8	156.064	156.584	11	9	11	97	15.001	9	19	12	105.529	12	7	10	15	8
"AT1G02360"	1180.706	1316.961	1716.52	741.275	614.67	554.06	105.049	4	178.449	258.554	68.001	24	28	253	269	16	478.199	448.239	271.766	220.352	445.349	226.715	246	39
"AT1G02370"	185.464	202.84	214.009	176.086	173.689	155.489	112.404	27	242.218	130	90.031	56	63.17	195.284	85.864	27	341.024	244.859	195.012	177	243.4	263.034	224	144.683
"AT1G02380"	30	28	30	29.038	24	18	19	12	18.141	22	9.001	13	7.015	35	17	11	24	15.019	42.058	13	6	8	2	7
"AT1G02390"	117.987	152	173	408.42	284.469	196.853	636.366	19	220.902	151.223	65	39.998	42.682	132.002	447.375	41	94	100.003	112	430.297	82	77	49.969	54
"AT1G02400"	257.925	314	371.192	1159.954	801.746	313.011	1829.295	310	361.899	438.665	288.053	220.004	281.685	233.229	636.634	346.03	278.253	362.387	197.98	1916.319	296.913	239.053	206	355.221
"AT1G02405"	14	12	15	13	12.429	12.945	29	42.701	24.986	22	26	12	15.067	16	43	33	50	26	19	69	30.945	44	33	47.849
"AT1G02410"	610.161	630.342	556.303	503.284	454.481	165	479.769	381.013	406.357	494.027	429.303	316.015	439.407	587.148	521.403	375.861	702.03	669.427	525.034	519	680.897	605.465	434.309	450.316
"AT1G02420"	89.847	105.996	97	73	75.008	31	62.233	67	92.675	49.643	64.078	76	77.028	100.493	83	53.703	120.919	119.045	82	108.021	76	83.34	72	64
"AT1G02430"	23	27	61	2.012	10	24.002	6	1	7	3	0	0	0	4	12	0	22.967	16.018	1	8	18	4	4	0
