"WT_DW_1"	"WT_DW_2"	"WT_DW_3"	"WT_JA__10"	"WT_JA__11"	"WT_JA_4_28"	"WT_DW_41"	"WT_JA_41"	"myb47_95DW6_21"	"myb47_95JA6_31"	"myb47_95JA7_32"	"myb47_95JA9_24"	"myb47_95_DW5_27"	"myb47_95_DW__7"	"myb47_95DW_41"	"myb47_95JA_41"	"mycTKO_DW_4"	"mycTKO_DW_5"	"mycTKO_DW_6_20"	"mycTKO_DW_41"	"mycTKO_JA_13"	"mycTKO_JA_14"	"mycTKO_JA_15"	"mycTKO_JA_41"
"AT1G74720"	533.325	846.245	750	468.225	453.353	307.811	667.801	463	715.714	397.344	483.62	499.195	549.901	671.026	518.404	461.112	884.399	544.871	582.637	767.205	480.78	549.569	491.046	479.021
"AT1G74730"	1630.31	1804.514	1551.898	989.807	1070.632	1913.728	2715.873	1878.845	1167.046	1173.714	2684.079	1645.599	2105.209	1510.012	3310.263	1811.225	1971.787	1805.565	1581.699	3356.238	1449.435	1474.367	961.796	2277.104
"AT1G74740"	477.164	648.191	600.009	468.838	389.486	352.897	276.595	136.139	435.342	383.118	272.423	207.039	316.527	426.803	259.671	214	505.047	386.258	413.917	344.426	397.778	389.811	337.906	372.049
"AT1G74750"	214.001	278	242.924	265.382	206.799	33	186.731	124.384	279.293	162.918	233.249	192.721	244.431	188.003	182.034	221.439	282.108	232.952	154.197	257.003	271.095	271.372	219.965	230.963
"AT1G74770"	38	63	44.21	14	8	2	138.46	0	12	0	7	4	2	16	52	0	16	23.004	10.008	60	4	3	4	5
"AT1G74780"	222.851	298	252	190.392	182.053	103.006	227.512	167	286.114	192.649	229.082	205.064	229.111	263.009	202.094	136.799	370.02	353.859	254.14	286.712	250	332.093	239	233.553
"AT1G74790"	1037.175	1275.933	1312.571	647.199	681.507	450.007	500.29	230.047	567.522	477.613	396.181	321.075	413.318	580.898	451.732	422.899	984.191	864.655	561.789	586.919	989.696	783.3	693.121	528.558
"AT1G74800"	243.096	329.221	289.342	252.13	264.56	159.614	273.226	130	346.676	232.153	196.362	152.642	136.847	349	296.118	129.924	381.594	329.625	315.666	282.928	249.094	270.031	223.016	234
"AT1G74810"	201.479	304.053	303.002	69	92.643	5	269.141	411.343	103.94	97.881	430.487	351.311	456.55	927.459	1262.607	467.04	277.064	191.115	888.833	359.011	327.098	312.12	357	1978.649
"AT1G74840"	1388.117	1515.972	1252.221	813.504	915.94	234.998	819.886	491.046	1280.244	1078.823	423.818	387.549	450.279	1180.495	905.802	416.836	1192.466	1149.789	1136.375	876.019	884.325	892.24	756.998	793.736
"AT1G74850"	715.445	1088.274	896.48	471.819	495.852	228.111	973.08	564.08	851.782	458.913	753.788	586.986	688.937	794.1	1097.856	520.214	1149.175	916.439	755.472	1364.115	638.861	714.687	620.36	628.008
"AT1G74860"	228	286	295.812	197.387	192.836	120	199	195.927	208.76	227.28	229.264	220.359	240.329	182.054	237.08	168.019	251	211.758	204.381	224	185.042	185	121	177.218
"AT1G74870"	20	4	21	7.836	12	0	16.015	16	19	9	9	5	5	25	16.002	6	25.032	18.216	25	23	20	24	13	6
"AT1G74880"	2961.786	3252.599	2816.89	1633.335	1803.779	1788.766	4816.946	962.159	2804.604	2280.381	1900.449	1187.558	1439.575	3233.05	4941.253	629.231	2908.628	2604.854	3140.148	5143.778	1041.213	1064.449	739.657	1603.908
"AT1G74900"	78	83.002	62	42	53.875	24	51	33	54.084	57.125	40	39.83	48.015	61	32.115	37	78	77.098	47	42	52.996	87	45	40
"AT1G74910"	2308.062	2774.99	2692.284	2230.947	2111.761	736.784	1838.293	1598.255	2053.057	2441.649	1969.679	1466.808	1760.894	2384.124	2057.317	1333.969	2547.698	2312.083	2299.125	2286.178	2212.475	2409.787	1893.123	2054.243
"AT1G74920"	4467.235	5180.616	4930.489	4520.924	4513.323	6069.948	4323.03	3850.163	4533.265	5429.924	5648.588	5296.916	6289.513	5768.718	3770.667	3620.897	5858.82	4450.415	5177.655	4173.715	4048.062	4204.262	3391.731	3335.026
"AT1G74930"	48	44	30	2090.579	2404.168	1834.665	11526.579	6468.6	462.34	1114.143	61	53	68.043	454.98	9464.866	1936.163	140	409.202	399.352	2237.749	55.762	70.003	68	772.486
"AT1G74940"	960.146	1053.19	968.13	534.276	708.238	181	526.941	521.163	1257.866	833.836	294.84	232.449	273.768	1056.34	982.647	401.261	1074.17	1146.205	1318.389	696.06	925.671	706.177	592.301	632.62
"AT1G74950"	1289.813	1163.878	1201.364	3331.664	3850.438	1170.183	3218.479	7219.202	660.22	3049.971	5503.653	4470.391	5667.165	1313.459	1864.859	6904.67	730.547	877.666	1420.425	793.023	1149.158	996.367	768.87	882.32
"AT1G74960"	2194.387	2721.395	2535.007	1728.475	1679.213	1265.463	2874.113	1869.507	1928.697	1592.618	1828.158	1519.755	1814.088	2179.447	2822.232	1701.404	2723.697	2310.386	2072.108	2782.269	2131.3	2101.883	1669.571	2193.117
"AT1G74970"	2606.627	2994.615	2646.067	1712.577	1831.291	1859.923	2858.961	920.899	2161.795	1947.698	1489.773	990.672	1219.341	2336.4	3364.112	784.344	2663.851	2273.369	2172.6	3183.202	1910.539	1910.952	1296.017	1358.778
"AT1G75000"	81.549	88	88.17	88.139	81.961	48.049	331.897	38.098	100.481	48.052	38.005	37	44	43	233.521	69.071	78	127.184	40.973	407	70.904	75.003	44.829	72
"AT1G75010"	722.235	778.553	674.357	489.926	444.09	423.359	823.32	343.788	537.017	393.187	433.216	306.005	386.738	651.718	768.206	470	989.046	847.406	672.638	979.792	821.742	729.481	550.862	669.209
"AT1G75020"	487.57	467.15	459.661	676.876	490.713	136.408	736.771	420.644	547.489	472.366	626.677	398.994	509.199	464.541	706.848	567.308	524.145	685.554	457.811	871.086	745.421	615.838	467	597.003
"AT1G75040"	1040.873	1033.254	971.002	1025.271	814.871	782.877	1727.299	165	2235.317	1622.078	1398.278	368.096	452.342	1575.416	4010.857	1095.662	3424.075	2267.382	1099.005	6019.271	4471.761	5631.824	4682.354	10944.893
"AT1G75060"	19.705	31.01	18	15	20	2	48.025	1	30	28.018	4	8	8	36	33	0	27	19	34	28	10	6	3	2
"AT1G75080"	901.064	981.151	908.077	655.157	687.28	275.517	829.791	603.404	859.582	743.881	519.177	537.655	618.195	785.155	610.482	575.185	803.779	742.985	736.851	793.451	545.454	511.993	397.449	309.161
"AT1G75090"	34.033	38	17	27	39.077	33.004	38	2	49.131	33.726	19	21	33.039	52	39	1	37	28.005	42	18	16	10	10	5.009
"AT1G75100"	2022.381	2256.478	2156.492	1178.302	1335.696	759.604	2529.308	1173.84	1558.932	940.43	1052.101	689.562	804.856	1714.209	3032.156	1137.397	2147.164	2095.14	1605.104	2418.713	1069.544	1005.371	694.011	1153.161
"AT1G75110"	27	37	25	30	22	13.2	33	5	48.003	23	12.001	19	8	51.496	21	8	53	43.004	33.289	30	51.009	46	30	11
"AT1G75120"	52.011	57	45	39	57.019	63.282	57.046	23	53.033	48.017	51	25	31	65	58.038	28.976	64	64.056	73.94	61	42.092	32.017	27	37
"AT1G75130"	804.568	831.654	895.48	563.231	474.006	362.3	339.48	219	452.736	507.508	270.394	243.945	275.233	579.646	342.54	208.006	752.183	550.486	564.723	484	453.11	419.419	319	227.058
"AT1G75140"	343.965	457	388.004	367.449	384.049	198.74	193.47	237.004	478.02	385.666	194.312	180.663	153.172	422.76	324.979	190	347.8	306.206	450.026	292	363.966	418.219	355	271.319
"AT1G75150"	47.624	52	72.003	62	74.034	2	32.685	29	92.252	40.844	48.027	48.371	37.774	81.849	54	67.005	171.301	105.051	72.615	122.997	124.122	147.997	84.987	90
"AT1G75170"	877.036	784.658	897.07	808.688	750.413	810.257	389.239	507.077	615.77	606.552	598.08	511.942	634.02	495.485	535.669	651.473	1222.612	1128.712	594.839	694.398	1476.234	1170.605	932.692	1198.75
"AT1G75180"	630.657	750.088	702.937	675.006	663.162	450.109	955.246	521.8	793.454	578.256	357.876	245.999	305.435	584.001	955.276	447.122	827.965	898.778	489.99	871.704	603.622	618.677	478.953	687.502
"AT1G75190"	149.983	183	163.075	147.233	142.251	364.494	159.093	135.579	251.3	170.268	115.057	55	58.084	142.962	237.385	88.321	307.796	268.29	148.005	327.373	295.073	250	296.531	351.719
"AT1G75200"	620.009	790.112	859.052	566.006	522.15	322.144	387.22	337.147	539.16	513.459	408.681	395.726	420.755	643.427	392.571	298.238	997.424	748.998	550.385	581.404	808.915	753.503	713.477	433.848
"AT1G75210"	1262.273	1386.609	1289.38	942.264	1002.297	455.678	1563.871	1348.875	909.803	912.112	1246.112	1048.365	1244.094	959.556	1409.918	1244.182	1262.066	1229.347	1059.241	1458.127	1023.91	993.83	695.934	984.75
"AT1G75220"	1791.448	1969.71	2001.213	3428.004	2928.787	2343.896	975.721	6233.697	826.15	1864.86	6699.635	7070.611	8019.257	973.675	961.788	5890.446	1137.696	1163.612	1004.165	1273.865	1645.627	1603.083	1367.476	1661.47
"AT1G75230"	341.931	375.01	401.174	303.878	242.176	235	499.087	454.413	263.817	261.464	239.925	247.396	321.083	368.993	316.388	415.974	413.998	257.258	321.565	259.011	283.766	326.676	277.01	189.841
"AT1G75240"	59.007	52	78.001	45.028	66.972	85.322	71.665	0	89.022	51.234	30.836	6	15	49	65	1	50	39.664	42	85	23	30.071	19	51
"AT1G75250"	22	17	12	10	11	8	7	0	30	18.15	5	0	1	14	16	2	33	20.043	8	31	11.999	16.036	18	9
"AT1G75260"	12	19	19	15	12	8	4	17	10	31.575	16	43	39.277	14	22	2	30	9	29	11	13	3	5	0
"AT1G75270"	510.108	482.001	457.194	519.825	548.012	1235.557	519.07	1736.043	536.942	638.537	892.736	964.195	1129.22	893.771	658.672	1811.028	869.926	792.752	977.778	542.038	1441.48	1143.102	1013.855	2755.289
"AT1G75280"	1223.225	1768.384	1342.264	787.899	1153.636	650.32	3241.956	6614.73	722.778	1441.877	3124.994	2975.288	3629.272	3403.365	5157.21	4186.746	2737.842	2154.545	3320.514	1690.033	2767.987	1723.058	1601.212	7911.062
"AT1G75290"	21.032	22	19	49.022	58.003	20	25	384.045	26	76	130.524	154.675	185.051	34	46.018	236.039	42.002	43.433	33.01	25	78.144	50	48	62.002
"AT1G75295"	259.713	276.929	232.596	180.539	202.121	124.685	198.194	53	240.771	182.643	52.872	20	35.896	203.771	202.378	67.001	288.067	275.292	221.24	237.005	245.558	217.008	171	201.059
"AT1G75300"	58.941	50	40	86.211	174.593	66.001	72.976	1856.752	46	294.252	921.061	1218.92	1474.367	65.133	61	1416.402	39.887	26.047	67	36	29	20	19	21
"AT1G75310"	537.489	888.067	700.107	438.639	420.345	28.004	679.532	187	652.838	317.994	191.085	207.443	225.769	782.814	379.084	203.871	557.718	437.514	709.599	588.074	308.404	377.209	305	214.042
"AT1G75330"	2032.016	2444.771	2379.353	2003.755	2077.873	2017.555	1777.26	1953.582	2384.244	2229.546	2414.91	2060.804	2609.478	2018.561	1682.26	2210.728	3833.748	2953.877	1996.003	2335.17	3563.523	3775.337	2917.251	2493.757
"AT1G75335"	59.988	62	74	59.808	62.719	360.923	46.037	40	82.295	57.071	63	39	48.003	60.355	60	71	138.023	85.842	103.96	70.281	108	93.716	45	100.155
"AT1G75340"	512.399	535.008	495.361	468.228	409.349	76	443.028	502.893	457.851	495.923	419.529	356.346	475.024	438.177	431.149	451.653	606.385	501.547	458.084	457.634	432.502	483.613	369.008	307.764
"AT1G75350"	3221.037	3576.226	3068.191	1961.963	1912.551	7162.394	4165.879	2281.436	2237.433	2046.515	2803.457	1740.571	2307.347	2907.906	4969.363	1582.535	3292.437	2933.306	2811.18	4584.123	2413.217	2389.783	1768.843	2677.707
"AT1G75360"	13.844	14	21	13	11	10.927	6.003	16	29.81	15.048	7.058	1	5	18	6	7	22	18.136	16	11	18	5	10	9.975
"AT1G75370"	1745.323	1922.874	1839.001	1412.592	1389.636	992.841	1947.793	2340.653	1639.792	1657.881	1962.798	2054.683	2413.622	1873.419	1964.752	1822.568	2170.129	2074.447	1958.883	2039.981	1607.583	1558.038	1349.138	1382.777
"AT1G75380"	21144.668	26023.448	23330.886	14419.321	13139.588	8627.564	17570.185	15638.274	12813.515	13208.666	9414.168	8786.964	10753.006	17184.299	20307.481	8169.764	22184.256	19101.893	15138.799	20571.165	10639.438	9717.574	8665.254	11470.376
"AT1G75390"	449.834	550.103	348.685	247.279	349.126	254.855	365.268	823.556	300.695	352.422	426.203	386.078	498.892	280.91	380.049	564.235	400.09	318.964	316.001	291.014	342.879	219.023	165.011	213
"AT1G75400"	770.532	1003.18	801.287	750.3	707.869	383.804	636.786	838.903	650.66	708.345	773.687	659.694	805.653	635.138	623.337	645.693	847.861	697.424	615.811	674.086	690.59	673.746	492.023	497.609
"AT1G75410"	2230.24	2607.835	2419.317	1692.273	1538.592	1162.916	1497.979	1707.603	1298.281	1487.8	1693.568	1725.481	1983.836	1528.33	2165.465	1403.675	1784.529	1575.797	1469.843	1908.029	925.839	889.993	750.67	920.686
"AT1G75420"	527.052	537.112	522.262	404.892	437.882	506.698	451.951	282.549	518.766	445.45	271.83	230.174	265.168	626.004	377.265	284.476	713.844	582.161	623.505	558.856	483.17	505.472	443	411.553
"AT1G75440"	940.515	910.275	811.411	826.322	865.103	865.553	878.943	918.029	813.193	803.168	974.35	554.901	790.232	868.683	1245.744	879.812	1154.308	1229.38	920.765	1143.844	1148.805	1152.228	736	1014.241
"AT1G75450"	243.714	312.511	382.978	658.345	600.647	197	27	931.575	49.36	559.617	1775.673	1499.475	1705.381	92.001	44	1710.008	59	55.004	53	38	158.944	156	133	108.047
"AT1G75460"	3001.191	3722.493	3201.563	1792.056	2008.133	2422.519	3960.754	5562.569	1921.168	1942.37	4249.32	3171.769	3803.793	2459.924	5446.744	2065.647	3411.367	2957.14	2393.073	4699.063	1746.75	1753.062	1404.007	2678.448
"AT1G75490"	73.212	102	124.226	90.002	114.379	29.005	22.108	38	93	134	47.006	10	23.523	37	30	27.298	77	59.266	28.964	63	121.861	161.001	128	99
"AT1G75500"	4779.592	5647.958	5146.735	4626.972	4827.005	2663.949	4055.09	2087.466	7124.616	4594.444	3430.035	2660.566	2996.585	4790.876	4037.861	2174.872	7578.552	6242.016	5386.664	4879.839	5544.414	5794.979	4322.036	3857.028
"AT1G75510"	1033.127	997	1037.947	919.265	846.115	501.981	627.04	721.48	659.029	854.179	790.63	579.931	755.516	826.692	791.27	586.389	1085.873	972.256	762.422	664.007	837.857	735.785	624.011	615.933
"AT1G75540"	1009.193	1238.982	1135.19	771.873	829.42	233	371.218	542.258	873.001	667.021	376.766	376.715	490.361	610.36	557.061	546.905	928.989	864.626	649.066	503.386	808.809	862.113	641.222	749.102
"AT1G75560"	523.23	792.339	718.34	482.911	509.096	491.681	572.279	471.779	588.213	512.782	519.108	392.164	490.938	653.052	598.125	499.562	862.049	637.438	512.363	631.104	588.794	638.863	502.044	477.718
"AT1G75580"	30.036	16	18	27	43.22	59.004	21.024	28	12	45.054	29.014	19	31.001	31	8	31	5	15	23	6	2	3	3	0
"AT1G75630"	2340.018	2758.427	2643.493	1917.081	1908.261	3317.888	2147.325	1050.246	3271.985	2144.529	1212.721	828.5	1115.605	3405.617	1891.295	1267.743	3622.74	2619.389	2918.164	2396.808	2155.504	2546.067	1886.713	1975.442
"AT1G75640"	44.166	67.087	50	13.349	20.008	2	26.025	3	55	21.002	3	6	7	90	16.005	8	24	23.003	116.372	14.001	5	3	2	0
"AT1G75660"	2026.363	3037.025	2796.019	1662.225	1524.432	288.638	1568.663	1271.492	2039.257	1410.745	1341.93	1456.449	1802.399	1939.84	1623.623	1405.184	2569.822	1882.593	1703.414	1875.492	1678.895	1977.406	1620.661	1248.485
"AT1G75670"	220.372	168.002	187	204.14	225.601	269.487	175.34	132.069	205.052	230.562	160.047	101	128.904	196.007	196	118	302.53	329.906	269.61	224.016	295.447	292.973	210	232.182
"AT1G75680"	821.861	844	769.86	563.765	655.941	233.887	1055.437	113	879.644	698.265	545.14	377.036	350.247	1412.857	871.919	42.617	702.401	565.251	1460.43	686.252	269.819	252.268	179	111.997
"AT1G75690"	1922.728	2593.423	2208.965	889.975	994.964	1093.075	2889.626	595.167	1366.254	1099.47	1076.729	473.146	656.926	2105.673	3092.208	400.423	1962.422	1488.693	1552.343	2517.231	755.839	757.928	546.486	996.833
"AT1G75710"	316.219	508.72	418.226	189.116	236.872	328.031	372.807	34	627.891	221.193	32	23	24.977	558.519	421.621	5	308.272	239.844	445.765	246.529	53	74	41	37
"AT1G75730"	425.899	451.08	410.243	341.932	345.113	146.882	370.172	234.155	265.559	340.408	276.839	203	335.058	342.072	350.839	133.112	258.694	291.261	306.097	323.587	170.788	161.015	119	85
"AT1G75750"	9308.293	12195.789	12569.926	15485.773	15381.423	21458.755	2656.503	2260.674	8896.889	11384.676	3989.888	1848.098	2776.784	5739.205	4464.888	2292.281	2393.898	2843.333	4789.004	3215.067	2032.431	1000.608	1146.607	1102.489
"AT1G75760"	668.671	751	753.965	843.28	755.437	547.509	457.375	374.076	704.337	680.967	593.825	448.726	598.828	683.019	527.727	493.151	798.369	696.988	759.64	555.145	657.705	643.615	449.667	428.522
"AT1G75770"	147.005	150	132	89.011	86.729	154.924	119.211	35	94.08	113.317	55.075	31.011	48.817	129.926	205.163	32	130.198	86.261	132.448	198	63.001	43	21	55
"AT1G75780"	38	36	47	25.019	27.351	12	25.031	15	106.386	35.008	10	20	5.001	181.253	33	9	119.75	80.08	150.093	33.008	52.183	44	40.002	19
"AT1G75800"	3776.233	4799.148	4519.885	3648.189	3457.088	2846.861	2953.436	1340.137	6217.503	4873.241	1905.56	1592.605	1843.741	4708.137	2716.481	1611.81	4785.56	3827.716	3985.641	4258.557	3794.848	4420.078	3585.661	3535.254
"AT1G75810"	272.282	360	312.462	222.974	201.041	365.604	369.722	192.996	355.87	197.292	248.506	141.448	208.388	312.13	393.496	294.026	549.278	389.411	226.245	419.239	395.573	375.036	283.093	380.161
"AT1G75820"	3029.282	4418.568	3646.987	2421.913	2144.242	1316.161	2369.149	322	4711.122	1960.696	544.66	364.379	458.301	2952.346	1633.7	198.11	3102.062	2478.702	3075.459	2272.312	1116.683	1141.572	856.307	596.03
"AT1G75830"	0	0	1	3	0	4	0	0	1	0	10	1	4	0	0	0	7	4	0	0	110.034	238.25	139	40.027
"AT1G75840"	700.977	857.765	681.736	785.383	788.589	1479.671	686.679	925.23	801.351	762.38	758.139	637.289	804.69	1105.459	670.866	721.922	789.44	685.256	1097.621	727.208	675.859	615.031	434.428	579.298
"AT1G75850"	916.914	1249.46	1157.821	957.34	917.988	310.125	941.034	1003.719	949.544	853.321	884.356	982.149	1177.616	1027.662	822.63	1237.537	1285.94	1120.571	967.327	1036.573	976.479	1092.209	869.002	853.771
"AT1G75860"	468.998	458.251	417.793	493.571	467.55	514.063	498.559	289.056	396.873	497.586	309.043	207.691	314.63	428.039	527.499	271	380.98	465.941	396.128	597	358.793	342.059	182	247.243
"AT1G75880"	102.332	92.245	87.036	90	85.55	39	82.024	22	87	52.633	94.093	65	88.968	131.749	77.004	15	93.541	61.097	106.055	99	47.999	35	50	18
"AT1G75900"	102.842	137	99	81.736	94.651	25	110.711	7	147.485	129.588	46.066	36	48	343	180.299	2	110.034	85.954	348.141	85	43	39.12	20	21
"AT1G75950"	5376.703	6301.848	5788.524	5133.763	5303.298	8147.595	4224.459	6625.887	4864.007	5109.811	7473.859	6024.306	7281.415	4718.571	4546.743	6875.005	6897.353	6173.515	4310.604	5246.718	6421.871	5956.082	4628.425	4933.535
"AT1G75960"	157.017	213.623	222	368.525	320.808	249.18	272.431	648.232	115.715	287.739	339.778	173.536	268.307	125	235.122	1033.602	230	166.032	119	275.675	199.024	221.071	220	139.515
"AT1G75980"	168.191	180.024	142.665	143.84	156.6	215.997	197.96	164	167.65	177.118	163	119.622	126.823	187.071	197.925	134.515	225.996	198.757	165.432	200.406	191.742	150.006	116.151	146.883
"AT1G75990"	534.998	852.569	799.471	518.381	503.223	310.148	304.302	356.164	672.904	497.343	375.976	356.826	416.891	689.673	393.334	254.372	907.193	606.604	530.355	498.855	628.6	619.34	495	350.091
"AT1G76010"	3680.846	5756.888	5260.453	2671.149	2548.186	1620.268	3436.269	2057.854	4175.433	2596.006	2482.266	2029.591	2567.685	4796.375	3747.578	2325.874	6418.955	3918.44	3213.112	4458.478	3269.645	3152.248	3866.398	2914.94
"AT1G76020"	666.544	701.628	636.75	597.824	708.012	469.345	866.779	1021.515	752.806	942.747	1015.975	913.706	1171.919	1060.617	711.901	726.336	797.69	626.195	924.477	640.318	517.429	636.229	436.249	499.873
"AT1G76030"	4458.053	5087.061	5185.507	4132.229	3903.688	3749.85	3139.009	2687.347	4338.662	4259.08	3816.716	3500.268	4023.751	4586.481	3297.99	2771.324	5604.46	4805.604	4901.381	3586.995	4601.793	4552.978	3508.649	3166.087
"AT1G76040"	471.985	492.132	452	381.876	393.762	234.764	926.028	183.471	360.753	548.901	347.472	325.384	328.462	404.188	384.06	105	453.881	413.26	431.027	641.135	269.742	260.26	204.985	49
"AT1G76050"	609.941	671.513	605.737	451.006	442.305	238	620.334	339.925	528.266	434.735	422.128	386.475	494.895	505	711.055	417.679	701.019	640.231	564.115	708.177	508.533	550.626	422.699	413.383
"AT1G76060"	215.48	224.923	258.147	227.626	240.845	443.019	156.662	365.601	263.779	240.943	307.194	251.518	311.378	237.862	229.019	320.06	376.446	345.966	236.045	227.166	412.553	347.715	321.686	378.161
"AT1G76065"	65.868	62	67.001	72.186	69.004	164.654	34	112.96	35.969	50.388	141.008	73.082	91.007	60	73.449	102	48.001	57.573	66.415	33	29	44	31	47.084
"AT1G76070"	322.378	309	374.079	1015.411	798.011	509.044	200.349	2443.654	248.219	604.297	1241.219	1057.35	1492.894	226.006	280.833	1855.143	266.739	308.898	241.35	161	248.171	269.969	207.247	336.919
"AT1G76080"	4358.262	5371.097	5078.302	3085.399	2988.621	3843.336	6932.318	9225.92	3460.561	2709.108	9141.099	8551.875	10526.576	3581.302	8228.014	7406.261	6737.311	5864.803	3190.565	8256.76	3505.195	3404.858	2647.478	5187.029
"AT1G76090"	356.399	437	418.41	556.226	432.642	737.339	164.344	483.098	265.997	395.119	1185.412	917.348	1129.24	328.065	232.869	614.291	253.001	163.804	272.033	185.044	307.903	300.856	240.004	344.586
"AT1G76100"	2446.269	3373.669	2950.109	1732.912	2046.132	2460.3	2460.538	724.933	2809.54	1945.621	1497.364	600.001	833.649	3010.037	2598.858	566.846	2491.642	1920.719	2420.23	2361.567	1195.232	1563.31	1304.898	1135.988
"AT1G76110"	533.818	580.696	533.828	229.525	232.074	205.096	810.01	122	402.925	305.059	177.484	89	112.001	462.309	1039.012	83.113	427.021	464.609	377.766	1008.096	171.964	139.875	134.001	397.454
"AT1G76120"	174.521	206.01	198.999	150.012	157.336	142.838	172.3	116.016	154.275	151.099	151.182	106.006	130.326	184.083	169.975	121.997	215	178.356	182.873	236	213.1	190.234	130.018	153.136
"AT1G76130"	782.471	1170.299	815.579	933.336	1229.328	854.847	836.544	4000.992	518.895	1492.553	2834.917	2821.3	3737.64	696.361	678.726	3055.375	765.711	528.057	592.078	790.055	501.238	428.034	303.113	261.726
"AT1G76140"	1984.535	2369.148	2420.513	1613.861	1431.065	154.498	1322.698	1330.124	1818.042	1505.914	1753.962	1774.604	2169.672	1921.421	1394.725	1376.287	2770.468	2189.585	1709.177	1871.571	2231.12	2619.227	2229.637	1434.253
"AT1G76150"	1974.163	2192.066	2009.057	2084.956	1884.345	2315.556	1156.875	2522.87	1856.731	2115.281	1968.234	1984.782	2511.511	1583.956	1216.47	2958.989	2728.455	2424.113	1600.856	1559.774	3818.129	3773.069	2732.868	3077.812
"AT1G76160"	2665.03	3434.386	3605.845	3501.73	3221.196	1480.175	2626.673	2416.793	2679.974	3121.265	4478.306	5202.83	5487.108	2820.355	2287.142	4452.583	3008.502	2540.13	2569.328	3543.887	3425.862	4045.643	3141.64	2216.3
"AT1G76170"	153.542	134.001	143	115.014	105.716	181.058	121.081	78	112.026	108.256	81.489	63	56.003	111.026	180	77	138	137.261	118.612	177.866	111.024	98	81	107.573
"AT1G76180"	7503.569	8632.977	7349.643	11061.03	10120.051	18838.054	20819.796	10160.478	11327.277	11046.504	6588.404	5707.35	6003.583	11047.497	13572.401	4756.609	7711.165	8640.693	12848.344	20550.712	5302.121	4127.635	3508.044	6494.057
"AT1G76185"	207.097	198.741	174	157.852	161.316	177	111.439	125.425	191.402	176.018	116.844	97	125.738	200.072	121.816	107	186.752	176.113	212.362	150	157.106	159.437	110	85.755
"AT1G76190"	1	5	5	9	3	22	9	22	5	8	11.215	5	15	10	15	25	5	7	2	13	6.099	10	15	9
"AT1G76200"	1683.186	2061.45	1966.755	1508.806	1619.109	5774.649	1651.188	1778.714	2198.614	1950.68	1635.003	1221.248	1679.937	2521.015	1648.747	2111.227	3034.808	2042.682	1822.495	2017.761	2441.027	2723.134	2270.979	2290.045
"AT1G76240"	38	41.033	59	61	20.305	57	34.671	53	36.251	69.394	17	12	3	24	48	17	21.289	11	24.634	45	5	9	6	7
"AT1G76260"	209.021	233	196.013	150.557	172.183	110	207.06	71	219.392	177.155	84.346	58	86.109	246.144	154.71	86.797	344.185	290.96	259	195.005	300.598	311.004	210.001	166.911
"AT1G76270"	326.809	396	394.717	402.046	344.766	145	322.046	252	387.153	354.082	284.343	240.005	257.872	394.233	323.286	309.213	552.191	483.994	409.717	376.079	523.908	528.821	380.169	266.727
"AT1G76280"	268.325	317.001	304	224.972	207.902	107	340.333	184.141	317.412	186.286	201.056	185.035	227.939	233.011	338.689	184.003	420.859	342.024	262.655	365.584	292.505	300.283	232.001	242.768
"AT1G76300"	432.621	459.011	467	348.152	356.463	590.42	438.214	312.005	531.907	391.444	339.974	205.391	290.788	594.099	415.086	256.605	843.913	590.045	449.072	587.266	550.552	585.071	554.918	432.954
"AT1G76310"	10	26	21	11	18	5	24	17	16	11	24.943	25.068	29.022	30	24	4	40.925	17.005	29.752	20	6	11	8	5
"AT1G76320"	514.107	642.661	571.022	418.864	401.117	84	382.831	305.219	429.312	333.716	324.987	357.369	296.281	440.968	380.803	282.301	539.981	493.437	396.834	419	405.243	438.015	310.001	250.362
"AT1G76340"	268.176	335.336	299.034	352.072	322.301	337.963	446.808	351.86	300.505	275.38	380.6	272.675	330.515	342	342.544	417.011	386.094	329.3	366.442	490.47	296.169	314.044	210.353	247.049
"AT1G76350"	461.143	635.043	510.795	415.417	373.987	161.028	659.434	786.728	495.593	431.466	656.089	747.936	821.2	791.348	805.913	1070.207	837.315	655.296	750.084	833.933	685.156	698.83	546.428	750.704
"AT1G76360"	1409.764	1484.69	1425.886	1301.076	1175.099	689.698	2409.834	1183.918	1553.143	1139.213	1421.659	1175.209	1345.25	1241.566	2112.04	1277.42	1509.598	1523.906	1414.334	2212.768	1137.938	1065.787	768.854	1077.708
"AT1G76380"	268.851	293.687	262.88	323.702	327.558	182.172	266.728	888.507	310.782	321.52	630.058	719.784	895.825	264.602	264	1230.177	284.066	249.537	288.316	287.02	225.482	251.32	165.329	192.13
"AT1G76390"	831.422	958.473	1062.065	1195.189	1028.861	528.242	607.816	2759.618	712.178	1005.777	2033.718	2312.759	2701.197	645.356	530.984	3337.659	753.686	715.872	698.519	628.994	743.915	754.001	566.64	512.03
"AT1G76400"	1338.837	1470.801	1388.032	1006.935	1027.709	739.048	1044.095	556.252	1220.762	1011.885	778.464	628.061	749.436	1177.15	1115.625	518.2	1769.229	1561.048	1324.878	1227.964	1546.225	1582.775	1229.334	1009.786
"AT1G76405"	225.048	223.079	207.674	158.6	169.564	241.454	186.179	111.002	178.021	159.426	91.052	75.507	68	164.194	199.021	71.013	218	216.61	199.229	224.007	196.648	116.44	91.001	122.103
